C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_20_741.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_20_741.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_20_741.jpg,0,0,0,6.801465E-06
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_20_807.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_20_807.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_20_807.jpg,0,0,0,9.248371E-06
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_20_881.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_20_881.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_20_881.jpg,0,0,0,1.237506E-05
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_20_951.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_20_951.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_20_951.jpg,0,0,0,6.423022E-06
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_21_020.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_21_020.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_21_020.jpg,0,0,0,1.5267E-05
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_21_091.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_21_091.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_21_091.jpg,0,0,0,9.347157E-06
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_21_162.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_21_162.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_21_162.jpg,0,0,0,4.49626E-06
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_21_233.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_21_233.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_21_233.jpg,0,0,0,3.518476E-06
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_21_307.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_21_307.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_21_307.jpg,0,0,0,1.450168E-05
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_21_378.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_21_378.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_21_378.jpg,0,0,0,6.497639E-06
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_21_448.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_21_448.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_21_448.jpg,0,0,0,5.561367E-06
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_21_520.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_21_520.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_21_520.jpg,0,0,0,3.009686E-06
C:\Users\nvasoya\Desktop\SIQ_32\IMG\center_2019_12_12_09_47_21_591.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\left_2019_12_12_09_47_21_591.jpg,C:\Users\nvasoya\Desktop\SIQ_32\IMG\right_2019_12_12_09_47_21_591.jpg,0,0,0,1.3548E-05
